     id  redshift           hst.wfc.F814W       hst.wfc.F814W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F444W   jwst.nircam.F444W_err  jwst.miri.F770W     jwst.miri.F770W_err  hst.wfc.F606W      hst.wfc.F606W_err  jwst.nircam.F090W  jwst.nircam.F090W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F356W   jwst.nircam.F356W_err  jwst.nircam.F410M   jwst.nircam.F410M_err  cfht.megacam.u  cfht.megacam.u_err  subaru.hsc.g     subaru.hsc.g_err  subaru.hsc.r    subaru.hsc.r_err  subaru.hsc.i      subaru.hsc.i_err  subaru.hsc.z     subaru.hsc.z_err  subaru.hsc.y     subaru.hsc.y_err  vista.vircam.Y   vista.vircam.Y_err  vista.vircam.J   vista.vircam.J_err  vista.vircam.H   vista.vircam.H_err  vista.vircam.Ks  vista.vircam.Ks_err  subaru.suprime.IB427  subaru.suprime.IB427_err  subaru.suprime.IB505  subaru.suprime.IB505_err  subaru.suprime.IB574  subaru.suprime.IB574_err  subaru.suprime.IB709  subaru.suprime.IB709_err  subaru.suprime.IB827  subaru.suprime.IB827_err  subaru.suprime.NB711  subaru.suprime.NB711_err  subaru.suprime.NB816  subaru.suprime.NB816_err  spitzer.irac.ch1  spitzer.irac.ch1_err  spitzer.irac.ch2  spitzer.irac.ch2_err  spitzer.irac.ch3  spitzer.irac.ch3_err 
 780995     -99.0           0.00016035837           1.4897742e-05           9.4342604e-05           1.9600173e-05            6.244901e-05           1.6272305e-05           0.00015138629           5.4735644e-06           0.00014021938   7.684226599999999e-06              0.0  0.00023374347691485953  0.00015874743          2.0410232e-05                0.0  4.061996078974027e-05            7.650881e-05           1.2920284e-05           0.00010553077            4.889467e-06       6.437179e-05            8.908511e-06           -99.0               -99.0         -99.0                -99.0         -99.0               -99.0         -99.0                 -99.0         -99.0                -99.0         -99.0                -99.0           -99.0                -99.0           -99.0                -99.0           -99.0                -99.0            -99.0                -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0             -99.0                 -99.0             -99.0                 -99.0             -99.0                 -99.0 
 781056     -99.0                     0.0  2.7542287033381606e-05                     0.0   6.262381194833604e-05  4.2566746000000004e-06           1.1955316e-06           6.0094427e-06            3.781044e-07  4.6552759999999995e-06            5.244675e-07              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05           3.9702873e-06            9.436049e-07           3.7255108e-06           3.2354757e-07      2.0379352e-06           6.3121086e-07             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 759290     -99.0           0.00013225412   9.022323000000001e-06           4.6762675e-05  1.2604386000000001e-05           5.2670773e-05           1.0380344e-05           0.00017679495  3.1072346000000002e-06           0.00014549997           4.4917944e-06              0.0  0.00023374347691485953   8.954872e-05          1.0117949e-05       4.911037e-05          1.2958557e-05  0.00014510081999999998   8.685643999999999e-06  0.00014938438000000002            2.901993e-06      0.00016872263           5.5964105e-06             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 614114     -99.0    9.75676841375127e-05    1.94951159133263e-05  0.00016719838872388042    2.74083846285293e-05   0.0001374213003920688    2.17479416986776e-05   0.0003999563461825933    1.04555759535162e-05  0.00027053826524613063  1.1765394122106599e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 614453     -99.0                     0.0  2.7542287033381606e-05   0.0002884528768730718    4.55386115554615e-05   0.0002025550532244421     3.6939081211348e-05   0.0004019177016106028  1.7108507769819402e-05   0.0003216771434419476     1.8802990786705e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05           -99.0               -99.0         -99.0                -99.0         -99.0               -99.0         -99.0                 -99.0         -99.0                -99.0         -99.0                -99.0           -99.0                -99.0           -99.0                -99.0           -99.0                -99.0            -99.0                -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0             -99.0                 -99.0             -99.0                 -99.0             -99.0                 -99.0 
 642340     -99.0                     0.0  2.7542287033381606e-05   0.0001867090558459358    3.79274191450056e-05                     0.0   5.113750086428668e-05   0.0001039374239446429    1.73468542679204e-05    7.99210033501351e-05    1.83404552392708e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 642380     -99.0                     0.0  2.7542287033381606e-05    9.44073681684999e-05     2.7778550882499e-05                     0.0   5.113750086428668e-05    3.67382530053368e-05    1.12405029287679e-05  5.4955523314609696e-05    1.30464525823277e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05           -99.0               -99.0         -99.0                -99.0         -99.0               -99.0         -99.0                 -99.0         -99.0                -99.0         -99.0                -99.0           -99.0                -99.0           -99.0                -99.0           -99.0                -99.0            -99.0                -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0                 -99.0                     -99.0             -99.0                 -99.0             -99.0                 -99.0             -99.0                 -99.0 
 661580     -99.0   0.0002074865703965978    2.54374857870973e-05   0.0002815397083498884  4.3437241764994097e-05   0.0004159728383140465  3.3784068533544596e-05   0.0004518900299792722    1.59349778747108e-05   0.0002464488286554607    1.72885512862231e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 661675     -99.0  0.00048236853773278983     5.0586282331389e-05   0.0005457068598911584    6.83929574921794e-05   0.0002552581657242734    5.52796757032447e-05    0.000525285139235603    2.01015799840015e-05   0.0003086234300125836  2.3487601644005402e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
 661906     -99.0  0.00011475806751632931  1.3733527718624501e-05   0.0001794265927059202  3.2820543675058804e-05  0.00023322643032446698    2.46606654724974e-05   0.0002694832801305409  1.1954844554144599e-05   0.0002141671915632401    1.31980427994764e-05              0.0  0.00023374347691485953            0.0  3.378621176851701e-05                0.0  4.061996078974027e-05                     0.0  2.3374347691485947e-05                     0.0  1.9441935582935383e-05                0.0  3.7045844534455236e-05             0.0  0.0478630092322638           0.0  0.03630780547701008           0.0  0.0478630092322638           0.0  0.057543993733715604           0.0  0.08317637711026687           0.0  0.15848931924611134             0.0  0.13182567385564037             0.0  0.15848931924611134             0.0  0.22908676527677702              0.0  0.30199517204020143                   0.0        0.2089296130854034                   0.0        0.2089296130854034                   0.0        0.2754228703338161                   0.0         0.251188643150958                   0.0        0.3311311214825902                   0.0        0.3981071705534972                   0.0        0.3311311214825902               0.0   0.19054607179632457               0.0    0.2089296130854034               0.0    3.3113112148259027 
