id	ra	dec	host_ra	host_dec
756650	150.059621921812	2.379229621856248	150.06149	2.37868
780830	150.0611823317705	2.379838349405287	150.06149	2.37868
780870	150.06118430689708	2.380072797255899	150.06149	2.37868
756895	150.0591005623026	2.3819763485170813	150.06149	2.37868
783764	150.08713065479782	2.3921706052002443	150.08728	2.3960431
758845	150.08484163891356	2.3933340070503144	150.08728	2.3960431
783964	150.08725744423617	2.3937652413696044	150.08728	2.3960431
759022	150.08696381915135	2.3942307753791403	150.08728	2.3960431
759045	150.087126021371	2.39440567147561	150.08728	2.3960431
784079	150.08468758664	2.3956026343404173	150.08728	2.3960431
759140	150.0864042668133	2.395362553086326	150.08728	2.3960431
784159	150.087583257383	2.3952529263200746	150.08728	2.3960431
759202	150.08798841721676	2.394917641497053	150.08728	2.3960431
759207	150.08890549687715	2.3949223337979135	150.08728	2.3960431
784266	150.0878415594062	2.3959141705870723	150.08728	2.3960431
759334	150.09070947393903	2.395445338676693	150.08728	2.3960431
784406	150.08811075348842	2.396759943978593	150.08728	2.3960431
759455	150.0847324394875	2.3986409098603514	150.08728	2.3960431
759460	150.08823061421572	2.397691354541237	150.08728	2.3960431
784557	150.08634676651428	2.398429698290596	150.08728	2.3960431
784569	150.08804692580466	2.3980034793004497	150.08728	2.3960431
784580	150.0872731313591	2.398398619842474	150.08728	2.3960431
784614	150.0888055969992	2.3980801527118785	150.08728	2.3960431
784646	150.0899098858085	2.397962033688261	150.08728	2.3960431
783888	150.0848182031842	2.3940290656325716	150.08728	2.3960431
