,ID,RA,Dec,redshift,M_gal,host_ID,host_RA,host_Dec,host_redshift
1241665,14629508,0.44564012464459324,-0.384443956127613,2.1374408176746447,3422344424.1305346,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
1310580,14698423,0.4477626896675052,-0.3797810982653922,2.2496525299422503,2339113576.714721,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
3433307,16821150,0.45147486299874917,-0.38259960222278755,2.5841054937733587,1181753337.31777,14698440.0,0.4478298532141056,-0.3813138502700812,2.2500425533108417
1160022,14547865,-0.3409398828220417,0.47070058984780283,2.1780874362995384,17746520509.652275,14547846.0,-0.33992437243574175,0.47133638660310484,2.178209222801104
1446309,14834152,0.10766241397474285,-0.38197945832374264,2.2349761647583355,13967744302.70919,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221527,15609370,0.10652588479477931,-0.3808609482481421,2.4051576090392546,6312913773.714888,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221528,15609371,0.10669787991684476,-0.38103001011699866,2.405103152685199,1403333291.0073307,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221530,15609373,0.10642262634267674,-0.38045291687125216,2.4050047947251842,6015812702.091577,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2221556,15609399,0.10978773864900171,-0.38053686002801934,2.4048962957503264,2735543361.8400745,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
2239945,15627788,0.10913040059285473,-0.383507650275399,2.4155994312139932,3256206767.377317,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
3061318,16449161,0.10480971311630849,-0.3824697333705148,2.493426575411898,1401787551.9476163,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
4363593,17751436,0.10772256218475706,-0.37962765460439707,2.829700748078181,2827684717.2111,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
4853117,18240960,0.10527633241563206,-0.3772573243074334,2.88526590277555,1351054215.5423872,15609351.0,0.10699269191924055,-0.3810093446679862,2.4051330617093063
