id,ra,dec,host_ra,host_dec,host_name,our_id,nbr_name
756228,150.06120015783387,2.3746272682231964,150.06149,2.37868,Hong,0,Hong HX1
756324,150.0621863944692,2.3752308893787197,150.06149,2.37868,Hong,0,Hong HX2
756381,150.05860749592134,2.377135428809643,150.06149,2.37868,Hong,0,Hong HX3
756542,150.06446107839014,2.3764584982060812,150.06149,2.37868,Hong,0,Hong HX4
756791,150.0621220714542,2.3799503830621935,150.06149,2.37868,Hong,0,Hong HX5
756809,150.06204554243652,2.38006265694344,150.06149,2.37868,Hong,0,Hong HX6
756931,150.06130922780542,2.381544864044232,150.06149,2.37868,Hong,0,Hong HX7
780235,150.05943909264596,2.375863016109413,150.06149,2.37868,Hong,0,Hong HX8
780261,150.0626841547331,2.3749051660938827,150.06149,2.37868,Hong,0,Hong HX9
780365,150.06153212035937,2.376173022210842,150.06149,2.37868,Hong,0,Hong HX10
780483,150.06236486375678,2.376784594015073,150.06149,2.37868,Hong,0,Hong HX11
780489,150.06134665942264,2.37719610764105,150.06149,2.37868,Hong,0,Hong HX12
780882,150.06178876001465,2.379930764519085,150.06149,2.37868,Hong,0,Hong HX13
781056,150.0635003297284,2.380535241838231,150.06149,2.37868,Hong,0,Hong HX14
756650,150.059621921812,2.379229621856248,150.06149,2.37868,NA,0,NA
756895,150.0591005623026,2.3819763485170813,150.06149,2.37868,NA,0,NA
780511,150.05986236018,2.377896293625006,150.06149,2.37868,NA,0,NA
780592,150.06025444847103,2.378309874037343,150.06149,2.37868,NA,0,NA
780808,150.06060321075748,2.379955845900776,150.06149,2.37868,NA,0,NA
780830,150.0611823317705,2.379838349405287,150.06149,2.37868,NA,0,NA
780870,150.06118430689708,2.380072797255899,150.06149,2.37868,NA,0,NA
780995,150.0605251034119,2.3811552089149735,150.06149,2.37868,NA,0,NA
781053,150.06144619616785,2.381258940803204,150.06149,2.37868,NA,0,NA
757782,150.11196858657198,2.3726263647783283,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX1
757931,150.10918777298713,2.375226074138221,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX2
757934,150.1101663695413,2.3749973515267655,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX3
757952,150.10897470294483,2.375809294827654,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX4
757967,150.11326871755142,2.3742890619647774,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX5
758035,150.1123643250359,2.3752430401218683,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX6
758076,150.10953826943546,2.377001819803952,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX7
758096,150.11126384775153,2.3764714522002772,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX8
758165,150.11390154536844,2.3758158682524453,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX9
782619,150.11125620650014,2.375525831626851,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX10
782740,150.11302026415436,2.3757118069406915,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX11
783186,150.11093132343476,2.379486044103596,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX12
783189,150.1124583344909,2.378998318019115,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX13
783240,150.11394179977952,2.37882302056198,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX14
804680,150.115654364856,2.376013410797952,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX15
804711,150.11633836014911,2.3760198194938944,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX16
830212,150.11557372972436,2.3747596602448997,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX17
830422,150.11659911647058,2.375748915229638,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX18
830622,150.11652722148708,2.376904565646679,150.11256,2.3765266,Bach-Dang,1,Bach-Dang HX19
782969,150.11295096342195,2.3773115771211195,150.11256,2.3765266,NA,1,NA
783202,150.1120710221203,2.3792183422752275,150.11256,2.3765266,NA,1,NA
756960,150.06632922505685,2.3801244793529985,150.06671,2.3823645,Gianh,2,Gianh HX1
756994,150.06579346486325,2.3807226965383426,150.06671,2.3823645,Gianh,2,Gianh HX2
757025,150.06659803361558,2.380855916549581,150.06671,2.3823645,Gianh,2,Gianh HX3
757035,150.06993613998245,2.3798080412536575,150.06671,2.3823645,Gianh,2,Gianh HX4
757177,150.06794106365746,2.3821448528082114,150.06671,2.3823645,Gianh,2,Gianh HX5
757208,150.06760167862964,2.3826430325056793,150.06671,2.3823645,Gianh,2,Gianh HX6
757258,150.07053504067514,2.3820629724575646,150.06671,2.3823645,Gianh,2,Gianh HX7
757350,150.0702960222559,2.3830360206853185,150.06671,2.3823645,Gianh,2,Gianh HX8
757396,150.06913308607335,2.3841610345687587,150.06671,2.3823645,Gianh,2,Gianh HX9
757532,150.06768160089132,2.386281173518392,150.06671,2.3823645,Gianh,2,Gianh HX10
781069,150.06649015613831,2.379530812936523,150.06671,2.3823645,Gianh,2,Gianh HX11
781337,150.06623935179212,2.381809889201619,150.06671,2.3823645,Gianh,2,Gianh HX12
781608,150.06928050048967,2.382870175642749,150.06671,2.3823645,Gianh,2,Gianh HX13
781836,150.0685381202546,2.385034426633675,150.06671,2.3823645,Gianh,2,Gianh HX14
781863,150.06864545205278,2.3852118159252584,150.06671,2.3823645,Gianh,2,Gianh HX15
780960,150.0674714380548,2.3784604002203515,150.06671,2.3823645,NA,2,NA
758998,150.08579200248414,2.3943724146574143,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX1
759298,150.08820671998814,2.396009502751366,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX2
759545,150.09105187207905,2.397342938393995,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX3
759592,150.09054729822762,2.3979904484302152,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX4
759715,150.0893659244597,2.398986589868576,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX5
783941,150.0863761118647,2.3939219795448574,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX6
784483,150.0862029580698,2.39798875279023,150.08728,2.3960431,Ben-Hai,3,Ben-Hai HX7
758845,150.08484163891356,2.3933340070503144,150.08728,2.3960431,NA,3,NA
759022,150.08696381915135,2.3942307753791403,150.08728,2.3960431,NA,3,NA
759045,150.087126021371,2.39440567147561,150.08728,2.3960431,NA,3,NA
759140,150.0864042668133,2.395362553086326,150.08728,2.3960431,NA,3,NA
759202,150.08798841721676,2.394917641497053,150.08728,2.3960431,NA,3,NA
759207,150.08890549687715,2.3949223337979135,150.08728,2.3960431,NA,3,NA
759334,150.09070947393903,2.395445338676693,150.08728,2.3960431,NA,3,NA
759455,150.0847324394875,2.3986409098603514,150.08728,2.3960431,NA,3,NA
759460,150.08823061421572,2.397691354541237,150.08728,2.3960431,NA,3,NA
