id	ra	dec
780511	150.05986236018	2.377896293625006
780592	150.06025444847103	2.378309874037343
780808	150.06060321075748	2.379955845900776
780995	150.0605251034119	2.3811552089149735
781053	150.06144619616785	2.381258940803204
782969	150.11295096342195	2.3773115771211195
783202	150.1120710221203	2.3792183422752275
784663	150.08763582274253	2.398937107675666
642465	150.4367903458159	2.466867855957659
642503	150.43617696618824	2.46748197327452
782329	150.10380645835485	2.3760714429897907
799317	150.1072238642873	2.328334130639372
823454	150.1085072945662	2.3284653351873184
823493	150.10990452132486	2.3282485990602697
823724	150.11157197777965	2.329368873772395
824065	150.11287801337895	2.331558110133733
