     id  redshift           hst.wfc.F814W       hst.wfc.F814W_err       jwst.nircam.F115W   jwst.nircam.F115W_err       jwst.nircam.F150W   jwst.nircam.F150W_err       jwst.nircam.F277W   jwst.nircam.F277W_err       jwst.nircam.F444W   jwst.nircam.F444W_err        jwst.miri.F770W      jwst.miri.F770W_err           hst.wfc.F606W       hst.wfc.F606W_err       jwst.nircam.F090W   jwst.nircam.F090W_err       jwst.nircam.F200W   jwst.nircam.F200W_err       jwst.nircam.F356W   jwst.nircam.F356W_err       jwst.nircam.F410M   jwst.nircam.F410M_err 
 756593     -99.0    9.40219610310854e-05   9.020413629181301e-06  0.00015916862000000002            1.659407e-05           0.00016405055           1.4321023e-05  0.00016996729999999997   4.536952399999999e-06  0.00010637870400000001            6.174344e-06                    0.0                   -0.099            8.163755e-05           1.2644822e-05           0.00012488865           1.6177554e-05           0.00017992347           1.1327339e-05  0.00014495777000000001  3.9558290000000005e-06           0.00014091782           7.1622306e-06 
 756631     -99.0   0.0007456650920620162    1.20252828560563e-05            0.0013225156           2.0458642e-05   0.0015062736999999998           1.7335095e-05            0.0014722234            6.371212e-06   0.0007189856999999999            7.307048e-06                    0.0                   -0.099           0.00041309625  1.4126160000000001e-05   0.0008905428600000001           1.9512255e-05            0.0017367451           1.4619554e-05   0.0008766773300000001             5.01155e-06            0.0007119597            8.583648e-06 
 756701     -99.0  0.00034455968930999144    2.32295175373257e-05           0.00063001823  5.0163845999999995e-05            0.0005750719  4.1499781999999996e-05   0.0007810824499999999           1.3107752e-05            0.0005925308           1.8294107e-05                    0.0                   -0.099            0.0004481655           4.1308284e-05  0.00039279264000000003  4.7352273000000003e-05           0.00070293313           3.2955863e-05            0.0006145296           1.1497204e-05   0.0005821456299999999             2.10174e-05 
 756746     -99.0  0.00045080623852078986    1.08419950532052e-05            0.0007453409  1.6429579999999998e-05             0.001124104  1.4601081999999999e-05   0.0012977822000000002           5.3028176e-06   0.0014206829999999998           6.5078437e-06                    0.0                   -0.099  0.00041327384000000003           1.3471226e-05            0.0004618054           1.5650198e-05   0.0011638675999999998           1.1928632e-05            0.0012675878  4.7277489999999995e-06            0.0013747135   8.205495000000001e-06 
 780592     -99.0                     0.0     5.1745193236663e-06                     0.0     9.8640214285352e-06                     0.0     6.0978118212621e-06  1.1266969999999999e-05   8.519705999999999e-07   4.017297000000001e-06            1.197103e-06                    0.0                   -0.099           1.0714905e-05            2.707185e-06                     0.0           2.0139953e-06                     0.0   4.904281299999999e-06            4.691203e-06            7.439704e-07                     0.0           4.6887497e-08 
 780758     -99.0  2.3077852000000003e-06            6.594371e-07                     0.0           8.7337085e-07                     0.0            1.064171e-06           3.4920517e-06           2.2858594e-07           2.4682349e-06           3.2424156e-07                    0.0                   -0.099                     0.0           1.9483087e-06                     0.0  2.2467250999999996e-06  2.5220849999999998e-06           5.7057105e-07           2.3045177e-06           2.0016165e-07  2.3463058999999997e-06  3.7369745999999996e-07 
 780830     -99.0           2.9660262e-05           6.6100676e-06                     0.0           1.8262593e-05                     0.0  1.7393516000000003e-05            3.570708e-05           2.4224753e-06           1.1533583e-05            3.330441e-06                    0.0                   -0.099                     0.0           2.5872039e-05                     0.0            5.432397e-06            3.580597e-05  6.1523695000000005e-06           2.7736451e-05           2.0965913e-06  1.3016936999999999e-05           3.8895404e-06 
 780877     -99.0  0.00012321031000000002           1.5642578e-05                     0.0            5.228724e-05           0.00012201996  1.8433361999999998e-05           0.00016719446           5.7774466e-06           0.00013290764            8.070756e-06                    0.0                   -0.099   8.837805999999999e-05           1.8131947e-05                     0.0           1.0597955e-06           0.00011087117           1.4641613e-05            0.0001523252            5.058296e-06           0.00013280207   9.391721000000001e-06 
 780882     -99.0           3.0729063e-05            7.433022e-06           3.4867387e-05  1.0933302000000001e-05                     0.0            2.478294e-05  5.7385202000000006e-05           2.7181213e-06  2.8563912999999998e-05           3.7942906e-06                    0.0                   -0.099                     0.0           2.2350922e-05                     0.0           1.8244257e-05           2.9763937e-05   6.837827599999999e-06           4.0359706e-05  2.3691532999999997e-06                     0.0           1.8224388e-06 
 758161     -99.0           0.00028975648           1.5557376e-05           0.00029853207           1.7684666e-05  0.00024223384000000001  1.4582029999999999e-05  0.00029388525999999996  2.9820045000000002e-06           0.00021514796           4.8570745e-06                    0.0                   -0.099  0.00019107914000000001           1.9041812e-05            0.0002636556           1.8355504e-05            0.0003547386  1.2047887999999999e-05           0.00026727432           2.7682912e-06  0.00023793160999999998           6.0500647e-06 
